specI	size.specI	domain	phylum	class	order	family	genus	species
specI_v4_06391	3	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lacticaseibacillus	Lacticaseibacillus pantheris
specI_v4_06578	3	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	Limosilactobacillus frumenti
specI_v4_06608	2	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Micrococcaceae	Kocuria	Kocuria subflava
specI_v4_06624	3	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium mongoliense
specI_v4_06670	3	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	Staphylococcus piscifermentans
specI_v4_06792	3	Bacteria	Actinobacteriota	Actinomycetia	Mycobacteriales	Mycobacteriaceae	Corynebacterium	Corynebacterium vitaeruminis
specI_v4_07041	3	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Micrococcaceae	Rothia	Rothia koreensis
specI_v4_07111	3	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Micrococcaceae	Micrococcus	Micrococcus endophyticus
specI_v4_07559	3	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Pantoea	Pantoea deleyi
specI_v4_07919	2	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Bordetella	Bordetella sp002261335
specI_v4_08382	2	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xanthomonas_B	Xanthomonas_B massiliensis
specI_v4_09124	2	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Micrococcaceae	Neomicrococcus	Neomicrococcus aestuarii
specI_v4_09876	2	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Superficieibacter	Superficieibacter sp900766525
specI_v4_10078	2	Bacteria	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus_J	Paenibacillus_J hunanensis
specI_v4_10176	2	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acetobacter	Acetobacter ghanensis
specI_v4_10346	2	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Pediococcus	Pediococcus stilesii
specI_v4_10349	2	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Paucilactobacillus	Paucilactobacillus vaccinostercus
specI_v4_10351	2	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Companilactobacillus	Companilactobacillus nantensis
specI_v4_10353	2	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Loigolactobacillus	Loigolactobacillus bifermentans
specI_v4_10644	2	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	Leuconostoc holzapfelii
specI_v4_11254	2	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Microbacteriaceae	Pseudoclavibacter_A	Pseudoclavibacter_A sp008831235
specI_v4_11256	2	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Companilactobacillus	Companilactobacillus heilongjiangensis
specI_v4_11387	2	Bacteria	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus	Paenibacillus graminis
specI_v4_11439	2	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acetobacter	Acetobacter malorum_A
specI_v4_11601	2	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacterium	Sphingobacterium thalpophilum
specI_v4_11911	2	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Weissella	Weissella bombi
specI_v4_12043	2	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus_F	Enterococcus_F saccharolyticus
specI_v4_12173	2	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus ferus
specI_v4_12225	2	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas_E	Pseudomonas_E putida_U
specI_v4_12357	2	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Chryseobacterium	Chryseobacterium contaminans
specI_v4_12608	2	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Companilactobacillus	Companilactobacillus zhachilii
specI_v4_12631	2	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Companilactobacillus	Companilactobacillus musae
specI_v4_12674	2	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Epilithonimonas	Epilithonimonas bovis
specI_v4_13279	2	Bacteria	Actinobacteriota	Actinomycetia	Mycobacteriales	Mycobacteriaceae	Corynebacterium	Corynebacterium nuruki
specI_v4_13431	2	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Micrococcaceae	Rothia	Rothia sp002418375
specI_v4_13501	2	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	UBA3961	UBA3961 sp002385265
specI_v4_13508	2	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Actinomycetaceae	Pauljensenia	Pauljensenia polynesiensis
specI_v4_14528	1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae
specI_v4_15258	1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae
specI_v4_15402	1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae
specI_v4_15582	1	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	Limosilactobacillus timonensis
specI_v4_15780	1	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Dermabacteraceae	Brachybacterium	Brachybacterium nesterenkovii
specI_v4_16191	1	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Chryseobacterium	Chryseobacterium taichungense
specI_v4_16897	1	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	Staphylococcus epidermidis
specI_v4_17108	1	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_G	Bacillus_A	Bacillus_A thuringiensis
specI_v4_17118	1	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_G	Bacillus_A	Bacillus_A cereus
specI_v4_17698	1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Aeromonadaceae	Aeromonas	Aeromonas dhakensis
specI_v4_17720	1	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia cenocepacia
specI_v4_17755	1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter sichuanensis
specI_v4_17785	1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Pantoea	Pantoea latae
specI_v4_17991	1	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	Stenotrophomonas maltophilia
specI_v4_17992	1	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	Stenotrophomonas maltophilia
specI_v4_18523	1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae
specI_v4_18795	1	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lacticaseibacillus	Lacticaseibacillus paracasei
specI_v4_19457	1	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus velezensis
specI_v4_22063	1	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_G	Bacillus_A	Bacillus_A paranthracis
specI_v4_22065	1	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_G	Bacillus_A	Bacillus_A paranthracis
specI_v4_22066	1	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_G	Bacillus_A	Bacillus_A paranthracis
specI_v4_22067	1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella aerogenes
specI_v4_22069	1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella aerogenes
specI_v4_22139	1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Aeromonadaceae	Aeromonas	Aeromonas dhakensis
specI_v4_22140	1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Aeromonadaceae	Aeromonas	Aeromonas dhakensis
specI_v4_22141	1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Aeromonadaceae	Aeromonas	Aeromonas dhakensis
specI_v4_22144	1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Aeromonadaceae	Aeromonas	Aeromonas dhakensis
specI_v4_22145	1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Aeromonadaceae	Aeromonas	Aeromonas dhakensis
specI_v4_22147	1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Aeromonadaceae	Aeromonas	Aeromonas dhakensis
specI_v4_22188	1	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter junii
specI_v4_22189	1	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter junii
specI_v4_22570	1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
